Location,Month,Avg Temp (°C),Avg High (°C),Avg Low (°C),Daylight (h/day),Cloud Cover (%),Rainfall (mm),Source
"Goa, India",May,29.4,32.2,27.2,12.9,65,81,https://weatherspark.com/y/107537/Average-Weather-in-Goa-Velha-Goa-India-Year-Round
"Goa, India",Jun,28.3,30.0,26.7,13.0,82,488,https://weatherspark.com/y/107537/Average-Weather-in-Goa-Velha-Goa-India-Year-Round
"Goa, India",Jul,27.2,28.3,26.1,12.9,87,564,https://weatherspark.com/y/107537/Average-Weather-in-Goa-Velha-Goa-India-Year-Round
"Goa, India",Aug,26.7,28.3,25.6,12.6,83,384,https://weatherspark.com/y/107537/Average-Weather-in-Goa-Velha-Goa-India-Year-Round
"Goa, India",Sep,27.2,29.4,25.6,12.2,73,193,https://weatherspark.com/y/107537/Average-Weather-in-Goa-Velha-Goa-India-Year-Round
"Goa, India",Oct,28.3,31.1,26.1,11.8,61,99,https://weatherspark.com/y/107537/Average-Weather-in-Goa-Velha-Goa-India-Year-Round
"Goa, India",Nov,28.3,31.7,25.6,11.4,49,23,https://weatherspark.com/y/107537/Average-Weather-in-Goa-Velha-Goa-India-Year-Round
"Goa, India",Dec,27.2,31.1,24.4,11.2,38,3,https://weatherspark.com/y/107537/Average-Weather-in-Goa-Velha-Goa-India-Year-Round
"Munnar, India",Jan,16.1,21.1,12.2,11.6,51,15,https://weatherspark.com/y/108945/Average-Weather-in-Munnar-Kerala-India-Year-Round
"Munnar, India",Feb,17.8,23.3,12.8,11.8,48,18,https://weatherspark.com/y/108945/Average-Weather-in-Munnar-Kerala-India-Year-Round
"Munnar, India",Mar,20.0,25.6,14.4,12.1,55,30,https://weatherspark.com/y/108945/Average-Weather-in-Munnar-Kerala-India-Year-Round
"Munnar, India",Apr,20.6,26.1,16.1,12.4,74,66,https://weatherspark.com/y/108945/Average-Weather-in-Munnar-Kerala-India-Year-Round
"Munnar, India",May,20.0,24.4,16.1,12.6,87,145,https://weatherspark.com/y/108945/Average-Weather-in-Munnar-Kerala-India-Year-Round
"Munnar, India",Jun,17.8,21.7,15.0,12.7,94,254,https://weatherspark.com/y/108945/Average-Weather-in-Munnar-Kerala-India-Year-Round
"Munnar, India",Jul,17.2,20.6,15.0,12.6,95,203,https://weatherspark.com/y/108945/Average-Weather-in-Munnar-Kerala-India-Year-Round
"Munnar, India",Aug,17.2,21.1,15.0,12.4,94,155,https://weatherspark.com/y/108945/Average-Weather-in-Munnar-Kerala-India-Year-Round
"Munnar, India",Sep,17.8,21.7,15.0,12.2,90,155,https://weatherspark.com/y/108945/Average-Weather-in-Munnar-Kerala-India-Year-Round
"Munnar, India",Oct,17.8,21.7,14.4,11.9,83,203,https://weatherspark.com/y/108945/Average-Weather-in-Munnar-Kerala-India-Year-Round
"Munnar, India",Nov,17.2,20.6,13.9,11.7,72,132,https://weatherspark.com/y/108945/Average-Weather-in-Munnar-Kerala-India-Year-Round
"Munnar, India",Dec,16.1,20.0,12.8,11.5,60,38,https://weatherspark.com/y/108945/Average-Weather-in-Munnar-Kerala-India-Year-Round
"Ha Giang, Vietnam",Jan,15.6,20.0,12.8,10.9,43,10,https://weatherspark.com/y/115263/Average-Weather-in-Th%C3%A0nh-Ph%E1%BB%91-H%C3%A0-Giang-Vietnam-Year-Round
"Ha Giang, Vietnam",Feb,17.8,22.2,14.4,11.4,38,10,https://weatherspark.com/y/115263/Average-Weather-in-Th%C3%A0nh-Ph%E1%BB%91-H%C3%A0-Giang-Vietnam-Year-Round
"Ha Giang, Vietnam",Mar,21.1,26.1,17.8,12.0,35,25,https://weatherspark.com/y/115263/Average-Weather-in-Th%C3%A0nh-Ph%E1%BB%91-H%C3%A0-Giang-Vietnam-Year-Round
"Ha Giang, Vietnam",Apr,25.0,30.0,21.1,12.7,44,51,https://weatherspark.com/y/115263/Average-Weather-in-Th%C3%A0nh-Ph%E1%BB%91-H%C3%A0-Giang-Vietnam-Year-Round
"Ha Giang, Vietnam",May,27.2,32.2,23.9,13.2,65,112,https://weatherspark.com/y/115263/Average-Weather-in-Th%C3%A0nh-Ph%E1%BB%91-H%C3%A0-Giang-Vietnam-Year-Round
"Ha Giang, Vietnam",Jun,28.9,33.3,25.6,13.5,86,157,https://weatherspark.com/y/115263/Average-Weather-in-Th%C3%A0nh-Ph%E1%BB%91-H%C3%A0-Giang-Vietnam-Year-Round
"Ha Giang, Vietnam",Jul,28.9,32.8,25.6,13.4,87,188,https://weatherspark.com/y/115263/Average-Weather-in-Th%C3%A0nh-Ph%E1%BB%91-H%C3%A0-Giang-Vietnam-Year-Round
"Ha Giang, Vietnam",Aug,28.9,32.8,25.6,12.9,82,185,https://weatherspark.com/y/115263/Average-Weather-in-Th%C3%A0nh-Ph%E1%BB%91-H%C3%A0-Giang-Vietnam-Year-Round
"Ha Giang, Vietnam",Sep,27.2,31.1,23.9,12.3,65,112,https://weatherspark.com/y/115263/Average-Weather-in-Th%C3%A0nh-Ph%E1%BB%91-H%C3%A0-Giang-Vietnam-Year-Round
"Ha Giang, Vietnam",Oct,24.4,28.9,21.1,11.6,47,56,https://weatherspark.com/y/115263/Average-Weather-in-Th%C3%A0nh-Ph%E1%BB%91-H%C3%A0-Giang-Vietnam-Year-Round
"Ha Giang, Vietnam",Nov,21.1,25.0,17.2,11.0,35,33,https://weatherspark.com/y/115263/Average-Weather-in-Th%C3%A0nh-Ph%E1%BB%91-H%C3%A0-Giang-Vietnam-Year-Round
"Ha Giang, Vietnam",Dec,17.2,21.7,13.3,10.8,33,13,https://weatherspark.com/y/115263/Average-Weather-in-Th%C3%A0nh-Ph%E1%BB%91-H%C3%A0-Giang-Vietnam-Year-Round
"Sanya, China",Jan,22.2,25.0,19.4,11.2,40,8,https://weatherspark.com/y/120758/Average-Weather-in-Sanya-China-Year-Round
"Sanya, China",Feb,22.8,25.6,20.6,11.6,37,5,https://weatherspark.com/y/120758/Average-Weather-in-Sanya-China-Year-Round
"Sanya, China",Mar,25.0,27.2,22.8,12.1,43,15,https://weatherspark.com/y/120758/Average-Weather-in-Sanya-China-Year-Round
"Sanya, China",Apr,27.2,28.9,25.0,12.6,60,51,https://weatherspark.com/y/120758/Average-Weather-in-Sanya-China-Year-Round
"Sanya, China",May,28.3,30.6,26.7,13.0,87,112,https://weatherspark.com/y/120758/Average-Weather-in-Sanya-China-Year-Round
"Sanya, China",Jun,28.9,30.6,27.2,13.2,93,157,https://weatherspark.com/y/120758/Average-Weather-in-Sanya-China-Year-Round
"Sanya, China",Jul,28.3,30.6,26.7,13.1,89,175,https://weatherspark.com/y/120758/Average-Weather-in-Sanya-China-Year-Round
"Sanya, China",Aug,28.3,30.0,26.1,12.7,90,190,https://weatherspark.com/y/120758/Average-Weather-in-Sanya-China-Year-Round
"Sanya, China",Sep,27.8,30.0,25.0,12.2,81,259,https://weatherspark.com/y/120758/Average-Weather-in-Sanya-China-Year-Round
"Sanya, China",Oct,26.7,29.4,23.9,11.7,65,274,https://weatherspark.com/y/120758/Average-Weather-in-Sanya-China-Year-Round
"Sanya, China",Nov,25.0,28.3,22.2,11.3,50,86,https://weatherspark.com/y/120758/Average-Weather-in-Sanya-China-Year-Round
"Sanya, China",Dec,22.8,26.1,20.0,11.1,40,23,https://weatherspark.com/y/120758/Average-Weather-in-Sanya-China-Year-Round
"Guilin, China",Jan,7.8,11.1,5.6,10.8,40,41,https://weatherspark.com/y/121829/Average-Weather-in-Guilin-China-Year-Round
"Guilin, China",Feb,10.0,12.8,7.2,11.3,41,61,https://weatherspark.com/y/121829/Average-Weather-in-Guilin-China-Year-Round
"Guilin, China",Mar,13.9,17.2,11.1,12.0,42,99,https://weatherspark.com/y/121829/Average-Weather-in-Guilin-China-Year-Round
"Guilin, China",Apr,19.4,22.8,16.1,12.8,49,165,https://weatherspark.com/y/121829/Average-Weather-in-Guilin-China-Year-Round
"Guilin, China",May,23.3,26.7,20.6,13.4,60,244,https://weatherspark.com/y/121829/Average-Weather-in-Guilin-China-Year-Round
"Guilin, China",Jun,26.7,30.0,23.9,13.7,75,287,https://weatherspark.com/y/121829/Average-Weather-in-Guilin-China-Year-Round
"Guilin, China",Jul,28.3,32.2,25.0,13.5,77,165,https://weatherspark.com/y/121829/Average-Weather-in-Guilin-China-Year-Round
"Guilin, China",Aug,28.3,32.2,25.0,13.0,70,112,https://weatherspark.com/y/121829/Average-Weather-in-Guilin-China-Year-Round
"Guilin, China",Sep,25.6,29.4,21.7,12.3,49,69,https://weatherspark.com/y/121829/Average-Weather-in-Guilin-China-Year-Round
"Guilin, China",Oct,21.1,25.6,17.2,11.5,34,56,https://weatherspark.com/y/121829/Average-Weather-in-Guilin-China-Year-Round
"Guilin, China",Nov,15.6,19.4,12.2,10.9,29,58,https://weatherspark.com/y/121829/Average-Weather-in-Guilin-China-Year-Round
"Guilin, China",Dec,10.6,14.4,7.2,10.6,28,30,https://weatherspark.com/y/121829/Average-Weather-in-Guilin-China-Year-Round
"Marrakesh, Morocco",Jan,12.2,18.9,6.7,10.4,36,33,https://weatherspark.com/y/32742/Average-Weather-in-Marrakesh-Morocco-Year-Round
"Marrakesh, Morocco",Feb,13.9,20.6,8.3,11.1,34,30,https://weatherspark.com/y/32742/Average-Weather-in-Marrakesh-Morocco-Year-Round
"Marrakesh, Morocco",Mar,16.7,23.3,11.1,12.0,34,30,https://weatherspark.com/y/32742/Average-Weather-in-Marrakesh-Morocco-Year-Round
"Marrakesh, Morocco",Apr,18.3,25.0,12.8,13.0,30,20,https://weatherspark.com/y/32742/Average-Weather-in-Marrakesh-Morocco-Year-Round
"Marrakesh, Morocco",May,21.7,28.3,15.0,13.8,26,8,https://weatherspark.com/y/32742/Average-Weather-in-Marrakesh-Morocco-Year-Round
"Marrakesh, Morocco",Jun,25.0,32.8,18.3,14.2,14,3,https://weatherspark.com/y/32742/Average-Weather-in-Marrakesh-Morocco-Year-Round
"Marrakesh, Morocco",Jul,28.9,36.7,21.1,14.0,5,0,https://weatherspark.com/y/32742/Average-Weather-in-Marrakesh-Morocco-Year-Round
"Marrakesh, Morocco",Aug,28.3,36.7,21.1,13.2,10,3,https://weatherspark.com/y/32742/Average-Weather-in-Marrakesh-Morocco-Year-Round
"Marrakesh, Morocco",Sep,25.0,32.2,18.9,12.3,28,5,https://weatherspark.com/y/32742/Average-Weather-in-Marrakesh-Morocco-Year-Round
"Marrakesh, Morocco",Oct,21.7,27.8,16.1,11.4,38,18,https://weatherspark.com/y/32742/Average-Weather-in-Marrakesh-Morocco-Year-Round
"Marrakesh, Morocco",Nov,16.7,22.8,11.1,10.5,37,36,https://weatherspark.com/y/32742/Average-Weather-in-Marrakesh-Morocco-Year-Round
"Marrakesh, Morocco",Dec,13.3,19.4,7.8,10.1,37,28,https://weatherspark.com/y/32742/Average-Weather-in-Marrakesh-Morocco-Year-Round
"Palermo, Italy",Jan,12.2,14.4,9.4,9.9,42,71,https://weatherspark.com/y/74359/Average-Weather-in-Palermo-Italy-Year-Round
"Palermo, Italy",Feb,11.7,14.4,8.9,10.8,40,66,https://weatherspark.com/y/74359/Average-Weather-in-Palermo-Italy-Year-Round
"Palermo, Italy",Mar,13.3,16.1,10.6,12.0,38,53,https://weatherspark.com/y/74359/Average-Weather-in-Palermo-Italy-Year-Round
"Palermo, Italy",Apr,15.6,18.9,12.8,13.2,37,41,https://weatherspark.com/y/74359/Average-Weather-in-Palermo-Italy-Year-Round
"Palermo, Italy",May,19.4,22.8,16.1,14.3,34,23,https://weatherspark.com/y/74359/Average-Weather-in-Palermo-Italy-Year-Round
"Palermo, Italy",Jun,23.3,27.2,20.0,14.8,21,10,https://weatherspark.com/y/74359/Average-Weather-in-Palermo-Italy-Year-Round
"Palermo, Italy",Jul,26.1,30.0,22.8,14.5,5,5,https://weatherspark.com/y/74359/Average-Weather-in-Palermo-Italy-Year-Round
"Palermo, Italy",Aug,26.7,30.0,22.8,13.6,10,10,https://weatherspark.com/y/74359/Average-Weather-in-Palermo-Italy-Year-Round
"Palermo, Italy",Sep,23.9,27.2,20.6,12.4,28,43,https://weatherspark.com/y/74359/Average-Weather-in-Palermo-Italy-Year-Round
"Palermo, Italy",Oct,21.1,23.9,17.8,11.2,42,69,https://weatherspark.com/y/74359/Average-Weather-in-Palermo-Italy-Year-Round
"Palermo, Italy",Nov,16.7,19.4,13.9,10.1,42,74,https://weatherspark.com/y/74359/Average-Weather-in-Palermo-Italy-Year-Round
"Palermo, Italy",Dec,13.3,16.1,10.6,9.6,42,76,https://weatherspark.com/y/74359/Average-Weather-in-Palermo-Italy-Year-Round
"Athens, Greece",Jan,8.9,12.8,5.6,9.9,40,46,https://weatherspark.com/y/89228/Average-Weather-in-Athens-Greece-Year-Round
"Athens, Greece",Feb,9.4,13.3,5.6,10.8,41,43,https://weatherspark.com/y/89228/Average-Weather-in-Athens-Greece-Year-Round
"Athens, Greece",Mar,11.1,15.6,7.2,12.0,39,41,https://weatherspark.com/y/89228/Average-Weather-in-Athens-Greece-Year-Round
"Athens, Greece",Apr,15.0,20.0,10.6,13.2,35,25,https://weatherspark.com/y/89228/Average-Weather-in-Athens-Greece-Year-Round
"Athens, Greece",May,20.0,25.0,15.0,14.3,28,15,https://weatherspark.com/y/89228/Average-Weather-in-Athens-Greece-Year-Round
"Athens, Greece",Jun,25.0,30.0,19.4,14.8,12,10,https://weatherspark.com/y/89228/Average-Weather-in-Athens-Greece-Year-Round
"Athens, Greece",Jul,27.8,32.8,22.8,14.5,2,5,https://weatherspark.com/y/89228/Average-Weather-in-Athens-Greece-Year-Round
"Athens, Greece",Aug,27.8,32.2,22.8,13.6,4,5,https://weatherspark.com/y/89228/Average-Weather-in-Athens-Greece-Year-Round
"Athens, Greece",Sep,23.9,28.3,18.9,12.4,17,13,https://weatherspark.com/y/89228/Average-Weather-in-Athens-Greece-Year-Round
"Athens, Greece",Oct,18.9,22.8,15.0,11.2,35,36,https://weatherspark.com/y/89228/Average-Weather-in-Athens-Greece-Year-Round
"Athens, Greece",Nov,13.9,17.8,10.6,10.1,42,61,https://weatherspark.com/y/89228/Average-Weather-in-Athens-Greece-Year-Round
"Athens, Greece",Dec,10.6,13.9,7.2,9.6,44,56,https://weatherspark.com/y/89228/Average-Weather-in-Athens-Greece-Year-Round
"Katowice, Poland",Jan,-1.7,1.1,-4.4,8.6,65,15,https://weatherspark.com/y/85111/Average-Weather-in-Katowice-Poland-Year-Round
"Katowice, Poland",Feb,-0.6,2.8,-3.9,10.1,64,15,https://weatherspark.com/y/85111/Average-Weather-in-Katowice-Poland-Year-Round
"Katowice, Poland",Mar,3.3,7.2,-1.1,12.0,59,25,https://weatherspark.com/y/85111/Average-Weather-in-Katowice-Poland-Year-Round
"Katowice, Poland",Apr,8.3,13.3,3.3,13.9,54,33,https://weatherspark.com/y/85111/Average-Weather-in-Katowice-Poland-Year-Round
"Katowice, Poland",May,13.9,18.3,7.8,15.5,50,58,https://weatherspark.com/y/85111/Average-Weather-in-Katowice-Poland-Year-Round
"Katowice, Poland",Jun,16.7,21.1,11.1,16.3,46,71,https://weatherspark.com/y/85111/Average-Weather-in-Katowice-Poland-Year-Round
"Katowice, Poland",Jul,18.3,23.3,12.8,15.9,40,74,https://weatherspark.com/y/85111/Average-Weather-in-Katowice-Poland-Year-Round
"Katowice, Poland",Aug,17.8,22.8,12.2,14.4,42,61,https://weatherspark.com/y/85111/Average-Weather-in-Katowice-Poland-Year-Round
"Katowice, Poland",Sep,13.3,18.3,8.3,12.5,48,51,https://weatherspark.com/y/85111/Average-Weather-in-Katowice-Poland-Year-Round
"Katowice, Poland",Oct,8.9,12.8,4.4,10.7,55,36,https://weatherspark.com/y/85111/Average-Weather-in-Katowice-Poland-Year-Round
"Katowice, Poland",Nov,3.9,6.1,0.6,9.0,65,28,https://weatherspark.com/y/85111/Average-Weather-in-Katowice-Poland-Year-Round
"Katowice, Poland",Dec,-0.6,2.2,-2.8,8.1,66,20,https://weatherspark.com/y/85111/Average-Weather-in-Katowice-Poland-Year-Round
"Kraków, Poland",Jan,-1.7,1.7,-5.0,8.6,63,15,https://weatherspark.com/y/85104/Average-Weather-in-Krak%C3%B3w-Poland-Year-Round
"Kraków, Poland",Feb,-0.6,2.8,-3.9,10.1,64,15,https://weatherspark.com/y/85104/Average-Weather-in-Krak%C3%B3w-Poland-Year-Round
"Kraków, Poland",Mar,3.3,7.8,-0.6,12.0,59,25,https://weatherspark.com/y/85104/Average-Weather-in-Krak%C3%B3w-Poland-Year-Round
"Kraków, Poland",Apr,8.9,13.9,3.9,13.9,54,38,https://weatherspark.com/y/85104/Average-Weather-in-Krak%C3%B3w-Poland-Year-Round
"Kraków, Poland",May,13.9,19.4,8.3,15.5,51,64,https://weatherspark.com/y/85104/Average-Weather-in-Krak%C3%B3w-Poland-Year-Round
"Kraków, Poland",Jun,17.2,22.2,11.7,16.3,46,76,https://weatherspark.com/y/85104/Average-Weather-in-Krak%C3%B3w-Poland-Year-Round
"Kraków, Poland",Jul,18.9,23.9,13.3,15.8,40,79,https://weatherspark.com/y/85104/Average-Weather-in-Krak%C3%B3w-Poland-Year-Round
"Kraków, Poland",Aug,18.3,23.3,12.8,14.4,41,66,https://weatherspark.com/y/85104/Average-Weather-in-Krak%C3%B3w-Poland-Year-Round
"Kraków, Poland",Sep,13.9,18.9,8.9,12.5,48,53,https://weatherspark.com/y/85104/Average-Weather-in-Krak%C3%B3w-Poland-Year-Round
"Kraków, Poland",Oct,8.9,13.3,4.4,10.7,54,36,https://weatherspark.com/y/85104/Average-Weather-in-Krak%C3%B3w-Poland-Year-Round
"Kraków, Poland",Nov,3.9,6.7,0.0,9.0,63,25,https://weatherspark.com/y/85104/Average-Weather-in-Krak%C3%B3w-Poland-Year-Round
"Kraków, Poland",Dec,-0.6,2.8,-3.3,8.1,64,18,https://weatherspark.com/y/85104/Average-Weather-in-Krak%C3%B3w-Poland-Year-Round
"Gdańsk, Poland",Jan,-0.6,1.7,-2.8,8.0,67,20,https://weatherspark.com/y/84138/Average-Weather-in-Gda%C5%84sk-Poland-Year-Round
"Gdańsk, Poland",Feb,0.0,2.8,-2.8,9.8,65,18,https://weatherspark.com/y/84138/Average-Weather-in-Gda%C5%84sk-Poland-Year-Round
"Gdańsk, Poland",Mar,2.8,6.1,-0.6,12.0,59,23,https://weatherspark.com/y/84138/Average-Weather-in-Gda%C5%84sk-Poland-Year-Round
"Gdańsk, Poland",Apr,7.2,11.7,2.8,14.2,54,25,https://weatherspark.com/y/84138/Average-Weather-in-Gda%C5%84sk-Poland-Year-Round
"Gdańsk, Poland",May,12.2,17.2,7.2,16.1,49,36,https://weatherspark.com/y/84138/Average-Weather-in-Gda%C5%84sk-Poland-Year-Round
"Gdańsk, Poland",Jun,15.6,20.0,10.6,17.1,45,46,https://weatherspark.com/y/84138/Average-Weather-in-Gda%C5%84sk-Poland-Year-Round
"Gdańsk, Poland",Jul,18.3,22.2,13.3,16.5,43,56,https://weatherspark.com/y/84138/Average-Weather-in-Gda%C5%84sk-Poland-Year-Round
"Gdańsk, Poland",Aug,17.8,21.7,12.8,14.8,44,48,https://weatherspark.com/y/84138/Average-Weather-in-Gda%C5%84sk-Poland-Year-Round
"Gdańsk, Poland",Sep,13.9,17.8,9.4,12.6,49,43,https://weatherspark.com/y/84138/Average-Weather-in-Gda%C5%84sk-Poland-Year-Round
"Gdańsk, Poland",Oct,8.9,12.2,5.6,10.4,57,36,https://weatherspark.com/y/84138/Average-Weather-in-Gda%C5%84sk-Poland-Year-Round
"Gdańsk, Poland",Nov,4.4,6.7,1.7,8.5,67,36,https://weatherspark.com/y/84138/Average-Weather-in-Gda%C5%84sk-Poland-Year-Round
"Gdańsk, Poland",Dec,1.1,3.3,-1.1,7.4,68,28,https://weatherspark.com/y/84138/Average-Weather-in-Gda%C5%84sk-Poland-Year-Round
"Riga, Latvia",Jan,-2.8,-0.6,-5.0,7.5,74,23,https://weatherspark.com/y/91560/Average-Weather-in-Riga-Latvia-Year-Round
"Riga, Latvia",Feb,-2.8,0.0,-5.6,9.6,71,20,https://weatherspark.com/y/91560/Average-Weather-in-Riga-Latvia-Year-Round
"Riga, Latvia",Mar,0.6,4.4,-2.8,11.9,64,23,https://weatherspark.com/y/91560/Average-Weather-in-Riga-Latvia-Year-Round
"Riga, Latvia",Apr,6.7,11.1,1.7,14.4,57,30,https://weatherspark.com/y/91560/Average-Weather-in-Riga-Latvia-Year-Round
"Riga, Latvia",May,12.2,17.2,6.7,16.6,49,43,https://weatherspark.com/y/91560/Average-Weather-in-Riga-Latvia-Year-Round
"Riga, Latvia",Jun,16.1,20.0,10.6,17.8,47,58,https://weatherspark.com/y/91560/Average-Weather-in-Riga-Latvia-Year-Round
"Riga, Latvia",Jul,18.3,22.8,13.3,17.1,44,58,https://weatherspark.com/y/91560/Average-Weather-in-Riga-Latvia-Year-Round
"Riga, Latvia",Aug,17.2,21.7,12.2,15.1,47,56,https://weatherspark.com/y/91560/Average-Weather-in-Riga-Latvia-Year-Round
"Riga, Latvia",Sep,12.8,16.7,8.3,12.7,53,48,https://weatherspark.com/y/91560/Average-Weather-in-Riga-Latvia-Year-Round
"Riga, Latvia",Oct,7.2,10.6,3.9,10.3,62,51,https://weatherspark.com/y/91560/Average-Weather-in-Riga-Latvia-Year-Round
"Riga, Latvia",Nov,2.2,4.4,0.0,8.1,72,41,https://weatherspark.com/y/91560/Average-Weather-in-Riga-Latvia-Year-Round
"Riga, Latvia",Dec,-1.1,0.6,-3.3,6.8,74,25,https://weatherspark.com/y/91560/Average-Weather-in-Riga-Latvia-Year-Round
"Tallinn, Estonia",Jan,-3.3,-1.1,-5.6,7.0,72,18,https://weatherspark.com/y/91604/Average-Weather-in-Tallinn-Estonia-Year-Round
"Tallinn, Estonia",Feb,-3.9,-1.7,-6.7,9.3,70,13,https://weatherspark.com/y/91604/Average-Weather-in-Tallinn-Estonia-Year-Round
"Tallinn, Estonia",Mar,-1.1,2.2,-3.9,11.9,63,18,https://weatherspark.com/y/91604/Average-Weather-in-Tallinn-Estonia-Year-Round
"Tallinn, Estonia",Apr,4.4,8.3,0.6,14.6,58,25,https://weatherspark.com/y/91604/Average-Weather-in-Tallinn-Estonia-Year-Round
"Tallinn, Estonia",May,10.0,14.4,5.0,17.1,48,36,https://weatherspark.com/y/91604/Average-Weather-in-Tallinn-Estonia-Year-Round
"Tallinn, Estonia",Jun,14.4,18.3,9.4,18.5,45,48,https://weatherspark.com/y/91604/Average-Weather-in-Tallinn-Estonia-Year-Round
"Tallinn, Estonia",Jul,17.2,21.1,12.2,17.7,42,48,https://weatherspark.com/y/91604/Average-Weather-in-Tallinn-Estonia-Year-Round
"Tallinn, Estonia",Aug,16.1,19.4,11.7,15.4,46,53,https://weatherspark.com/y/91604/Average-Weather-in-Tallinn-Estonia-Year-Round
"Tallinn, Estonia",Sep,11.7,15.0,7.8,12.7,50,48,https://weatherspark.com/y/91604/Average-Weather-in-Tallinn-Estonia-Year-Round
"Tallinn, Estonia",Oct,6.7,8.9,3.9,10.1,60,51,https://weatherspark.com/y/91604/Average-Weather-in-Tallinn-Estonia-Year-Round
"Tallinn, Estonia",Nov,1.7,3.9,-0.6,7.6,69,38,https://weatherspark.com/y/91604/Average-Weather-in-Tallinn-Estonia-Year-Round
"Tallinn, Estonia",Dec,-1.1,0.6,-3.9,6.2,70,20,https://weatherspark.com/y/91604/Average-Weather-in-Tallinn-Estonia-Year-Round
"Turin, Italy",Jan,2.8,7.2,-0.6,9.2,44,23,https://weatherspark.com/y/55583/Average-Weather-in-Turin-Italy-Year-Round
"Turin, Italy",Feb,4.4,9.4,1.1,10.5,44,28,https://weatherspark.com/y/55583/Average-Weather-in-Turin-Italy-Year-Round
"Turin, Italy",Mar,9.4,13.9,4.4,12.0,46,38,https://weatherspark.com/y/55583/Average-Weather-in-Turin-Italy-Year-Round
"Turin, Italy",Apr,12.2,17.2,8.3,13.6,50,69,https://weatherspark.com/y/55583/Average-Weather-in-Turin-Italy-Year-Round
"Turin, Italy",May,16.7,21.1,12.2,14.9,51,79,https://weatherspark.com/y/55583/Average-Weather-in-Turin-Italy-Year-Round
"Turin, Italy",Jun,21.1,25.6,16.1,15.6,39,56,https://weatherspark.com/y/55583/Average-Weather-in-Turin-Italy-Year-Round
"Turin, Italy",Jul,23.3,28.3,18.3,15.2,27,38,https://weatherspark.com/y/55583/Average-Weather-in-Turin-Italy-Year-Round
"Turin, Italy",Aug,22.8,27.8,18.3,14.0,30,46,https://weatherspark.com/y/55583/Average-Weather-in-Turin-Italy-Year-Round
"Turin, Italy",Sep,18.9,23.3,14.4,12.5,39,58,https://weatherspark.com/y/55583/Average-Weather-in-Turin-Italy-Year-Round
"Turin, Italy",Oct,13.3,17.2,9.4,10.9,50,71,https://weatherspark.com/y/55583/Average-Weather-in-Turin-Italy-Year-Round
"Turin, Italy",Nov,7.2,11.7,3.9,9.5,50,64,https://weatherspark.com/y/55583/Average-Weather-in-Turin-Italy-Year-Round
"Turin, Italy",Dec,3.3,7.8,0.6,8.8,45,33,https://weatherspark.com/y/55583/Average-Weather-in-Turin-Italy-Year-Round
"Rome, Italy",Jan,7.2,12.2,2.8,9.5,47,53,https://weatherspark.com/y/71779/Average-Weather-in-Rome-Italy-Year-Round
"Rome, Italy",Feb,7.8,13.3,3.3,10.6,44,61,https://weatherspark.com/y/71779/Average-Weather-in-Rome-Italy-Year-Round
"Rome, Italy",Mar,10.6,15.6,5.6,12.0,44,48,https://weatherspark.com/y/71779/Average-Weather-in-Rome-Italy-Year-Round
"Rome, Italy",Apr,13.3,18.9,8.3,13.4,43,48,https://weatherspark.com/y/71779/Average-Weather-in-Rome-Italy-Year-Round
"Rome, Italy",May,17.8,23.3,12.2,14.6,39,38,https://weatherspark.com/y/71779/Average-Weather-in-Rome-Italy-Year-Round
"Rome, Italy",Jun,21.7,27.2,15.6,15.2,25,25,https://weatherspark.com/y/71779/Average-Weather-in-Rome-Italy-Year-Round
"Rome, Italy",Jul,24.4,30.6,18.3,14.8,13,18,https://weatherspark.com/y/71779/Average-Weather-in-Rome-Italy-Year-Round
"Rome, Italy",Aug,25.0,30.6,18.3,13.8,18,23,https://weatherspark.com/y/71779/Average-Weather-in-Rome-Italy-Year-Round
"Rome, Italy",Sep,21.1,26.7,15.6,12.4,32,61,https://weatherspark.com/y/71779/Average-Weather-in-Rome-Italy-Year-Round
"Rome, Italy",Oct,16.7,22.2,11.7,11.0,43,86,https://weatherspark.com/y/71779/Average-Weather-in-Rome-Italy-Year-Round
"Rome, Italy",Nov,11.7,16.7,7.2,9.8,47,94,https://weatherspark.com/y/71779/Average-Weather-in-Rome-Italy-Year-Round
"Rome, Italy",Dec,7.8,12.8,3.9,9.2,46,71,https://weatherspark.com/y/71779/Average-Weather-in-Rome-Italy-Year-Round
"Florence, Italy",Jan,6.1,10.6,2.2,9.4,57,41,https://weatherspark.com/y/69010/Average-Weather-in-Florence-Italy-Year-Round
"Florence, Italy",Feb,7.2,11.7,2.8,10.5,53,43,https://weatherspark.com/y/69010/Average-Weather-in-Florence-Italy-Year-Round
"Florence, Italy",Mar,10.6,15.6,5.6,12.0,51,43,https://weatherspark.com/y/69010/Average-Weather-in-Florence-Italy-Year-Round
"Florence, Italy",Apr,13.3,18.9,8.3,13.5,51,51,https://weatherspark.com/y/69010/Average-Weather-in-Florence-Italy-Year-Round
"Florence, Italy",May,17.8,23.3,12.2,14.8,46,46,https://weatherspark.com/y/69010/Average-Weather-in-Florence-Italy-Year-Round
"Florence, Italy",Jun,22.2,27.8,16.1,15.4,33,38,https://weatherspark.com/y/69010/Average-Weather-in-Florence-Italy-Year-Round
"Florence, Italy",Jul,25.0,31.1,18.3,15.0,19,25,https://weatherspark.com/y/69010/Average-Weather-in-Florence-Italy-Year-Round
